Sample A,Sample B,Spearman Rho,p-value,Significant?
DM_1,DM_3,0.9758232964275878,7.823212384031605e-72,✅
HCl_2,HCl_7,0.9757542846799471,9.082822096883325e-72,✅
HCl_6,HCl_7,0.9756209094286775,1.2105914508390615e-71,✅
DM_3,DM_4,0.975466040439381,1.6866246120008882e-71,✅
NO2_5,NO2_7,0.974932538163659,5.202335532897632e-71,✅
NO2_2,NO2_3,0.9747920775100746,6.970072595298215e-71,✅
Hydrazine_3,Hydrazine_6,0.9746203532572453,9.944481218413147e-71,✅
HF_6,HF_7,0.9744180286091275,1.5068814593963643e-70,✅
DM_5,DM_6,0.9743443177379557,1.7517762030744613e-70,✅
HF_2,HF_6,0.974094177444667,2.910743335890184e-70,✅
DM_4,DM_6,0.9740751237919626,3.024915412727189e-70,✅
DM_2,DM_3,0.9739441919841473,3.937313973332243e-70,✅
Cl2_2,Cl2_3,0.9729248239923022,2.931525737109273e-69,✅
Hydrazine_6,Hydrazine_7,0.9727387916087115,4.193887660917593e-69,✅
NO2_2,NO2_5,0.9727175510367767,4.368229478338337e-69,✅
HF_5,HF_6,0.9726460998391353,5.008481081794503e-69,✅
NO2_3,NO2_7,0.972162679699334,1.2517259599040555e-68,✅
HF_4,HF_6,0.9717909328025848,2.5042736973457885e-68,✅
NO2_5,NO2_6,0.9715004310899191,4.278038206415729e-68,✅
NO2_1,NO2_5,0.9714028490001756,5.114762039293797e-68,✅
HCl_5,HCl_7,0.9712862137624205,6.327068224063061e-68,✅
HCl_3,HCl_7,0.9712576333514342,6.6647002765701746e-68,✅
Cl2_1,Cl2_6,0.9711027539700819,8.825479308869533e-68,✅
NO2_3,NO2_5,0.9706216492392968,2.0911788450757107e-67,✅
NO2_1,NO2_3,0.9705431230767765,2.404089757891616e-67,✅
NO2_6,NO2_7,0.9705120907362467,2.540023395497553e-67,✅
NO2_2,NO2_7,0.9697905055874703,8.978343135483793e-67,✅
DM_1,DM_4,0.9693449814940956,1.9282610431685438e-66,✅
Ammonia_1,Ammonia_3,0.9687470972840166,5.284995387451331e-66,✅
Cl2_5,Cl2_6,0.9687139767736527,5.585372110621649e-66,✅
Hydrazine_2,Hydrazine_5,0.9684567530747759,8.563026940762355e-66,✅
DM_4,DM_7,0.9683256840884211,1.0631565553492634e-65,✅
DM_5,DM_7,0.9682185829832233,1.2679161234214115e-65,✅
HF_2,HF_7,0.9680732231900884,1.6087585886368088e-65,✅
Cl2_1,Cl2_2,0.9679446110343338,1.9841745496062638e-65,✅
HF_4,HF_7,0.9678801519563492,2.2033988787525825e-65,✅
Cl2_4,Cl2_5,0.9678660912477255,2.2542847532411196e-65,✅
Cl2_1,Cl2_3,0.9677731281599946,2.6209326258146536e-65,✅
Hydrazine_5,Hydrazine_6,0.9677373257291845,2.7772183140249002e-65,✅
NO2_3,NO2_6,0.9676492794174162,3.201469401003463e-65,✅
NO2_3,NO2_4,0.9673802242609582,4.931303927715923e-65,✅
Hydrazine_2,Hydrazine_6,0.9672895638241906,5.6993491134117895e-65,✅
Hydrazine_1,Hydrazine_6,0.9672844887239324,5.74564875348323e-65,✅
HF_1,HF_7,0.9664536627102175,2.1243500306121334e-64,✅
HF_1,HF_6,0.9664012651652806,2.304411458109301e-64,✅
HF_3,HF_6,0.9663368789089851,2.5462545863024242e-64,✅
DM_3,DM_6,0.9662084274105194,3.1054033151234585e-64,✅
HF_1,HF_3,0.965953504326728,4.5945038861454737e-64,✅
DM_4,DM_5,0.9658868165422626,5.0877799643465826e-64,✅
MA_4,MA_5,0.9648483924698749,2.4268362902549797e-63,✅
NO2_4,NO2_5,0.9648293388171706,2.496311694789827e-63,✅
DM_2,DM_6,0.9646365048062725,3.318800946927478e-63,✅
HCl_4,HCl_5,0.9645412367696513,3.817968404828254e-63,✅
Cl2_3,Cl2_5,0.9644936027513409,4.094449419632856e-63,✅
NO2_4,NO2_7,0.9641982718378156,6.302699124629837e-63,✅
MA_3,MA_4,0.9639147634873612,9.503512928000313e-63,✅
MA_4,MA_7,0.9638265541863356,1.079161573508687e-62,✅
Hydrazine_4,Hydrazine_7,0.9633645020187129,2.089401500519457e-62,✅
Hydrazine_3,Hydrazine_4,0.963231126132119,2.5244298855439365e-62,✅
DM_2,DM_5,0.9626168224299065,5.978790265038465e-62,✅
MA_5,MA_7,0.9623809444446599,8.293346927396538e-62,✅
Hydrazine_1,Hydrazine_5,0.9623592401785735,8.545962886519574e-62,✅
HF_3,HF_7,0.9616401423311246,2.2868043661196838e-61,✅
Hydrazine_1,Hydrazine_3,0.9616159595404696,2.362991322577261e-61,✅
NO2_1,NO2_6,0.9615425837256679,2.6097119988204016e-61,✅
DM_2,DM_4,0.9615425837256679,2.6097119988204016e-61,✅
HCl_2,HCl_5,0.9608353101450932,6.730975374471176e-61,✅
Hydrazine_1,Hydrazine_4,0.9606253453935168,8.887418861335926e-61,✅
Hydrazine_2,Hydrazine_3,0.9604683399098167,1.0929531812155899e-60,✅
Hydrazine_4,Hydrazine_5,0.9602922823363533,1.3768786806891437e-60,✅
Cl2_1,Cl2_4,0.959494316059949,3.871268243536901e-60,✅
HCl_1,HCl_5,0.9592656722274966,5.185990028208868e-60,✅
Hydrazine_1,Hydrazine_7,0.9592056437700225,5.598197131292765e-60,✅
NO2_1,NO2_7,0.9590156906456315,7.125743342861359e-60,✅
Hydrazine_3,Hydrazine_5,0.958915463515902,8.089428546097074e-60,✅
HF_2,HF_3,0.9586369016882526,1.1489619555319448e-59,✅
HCl_5,HCl_6,0.9585584040698505,1.2678232144189078e-59,✅
HF_3,HF_4,0.9584842747100649,1.3910949060783748e-59,✅
Hydrazine_5,Hydrazine_7,0.9582009498377204,1.9801724254143837e-59,✅
Ammonia_5,Ammonia_6,0.9581700871969958,2.0575144327918463e-59,✅
HF_5,HF_7,0.9580319482148892,2.441565943713389e-59,✅
Ammonia_3,Ammonia_6,0.9577792862018519,3.3340242256629777e-59,✅
Cl2_2,Cl2_5,0.957681938132937,3.757317886930795e-59,✅
Hydrazine_4,Hydrazine_6,0.9572530283579994,6.340785001258331e-59,✅
DM_3,DM_5,0.957053169091238,8.076945597619082e-59,✅
Ammonia_2,Ammonia_5,0.9568340526070097,1.05173311948321e-58,✅
DM_1,DM_6,0.956764880310049,1.142821070150398e-58,✅
Cl2_5,Cl2_7,0.9566149361227814,1.3676361389496234e-58,✅
MA_3,MA_5,0.9561576495470003,2.3557763451100492e-58,✅
MA_2,MA_7,0.9558503049802396,3.384150723563536e-58,✅
MA_4,MA_6,0.9557740903694222,3.70072816452648e-58,✅
HF_1,HF_5,0.955652728952909,4.26569254970021e-58,✅
NO2_1,NO2_4,0.9555384073089638,4.874779796005307e-58,✅
MA_2,MA_3,0.955109701144169,8.01633425346958e-58,✅
NO2_2,NO2_4,0.9543570836548629,1.8973876005077428e-57,✅
NO2_4,NO2_6,0.9542926688716579,2.0412087791733363e-57,✅
MA_2,MA_6,0.9538521630607714,3.354793505320445e-57,✅
Hydrazine_1,Hydrazine_2,0.9536326048867498,4.289716130148032e-57,✅
HCl_3,HCl_5,0.9532805548410452,6.346602427245574e-57,✅
HF_2,HF_5,0.9532424476263968,6.62027674722693e-57,✅
Ammonia_6,Ammonia_7,0.9531923204279809,6.997952371951665e-57,✅
Hydrazine_2,Hydrazine_7,0.9526896676666795,1.2165559226497011e-56,✅
DM_3,DM_7,0.9525469909590634,1.421756054811979e-56,✅
Ammonia_2,Ammonia_6,0.9524778084515674,1.533111422399669e-56,✅
MA_2,MA_4,0.9508106138399356,9.12700331901543e-56,✅
HF_4,HF_5,0.9504746752643165,1.2977131385997926e-55,✅
MA_3,MA_6,0.9502605580801584,1.621986189789096e-55,✅
Ammonia_5,Ammonia_7,0.9500509683995921,2.0158301458779485e-55,✅
HF_2,HF_4,0.9500507304819287,2.0163265617503987e-55,✅
DM_1,DM_2,0.9499770165341198,2.17604350667388e-55,✅
MA_1,MA_2,0.9490243338989016,5.7688876118902974e-55,✅
Ammonia_3,Ammonia_7,0.9490075405117836,5.867903106403459e-55,✅
DM_2,DM_7,0.9488791715491534,6.681844480615806e-55,✅
Cl2_1,Cl2_5,0.9487718730005689,7.446267957358414e-55,✅
MA_1,MA_6,0.9487099486292796,7.925776134338489e-55,✅
Ammonia_2,Ammonia_3,0.9481310703998808,1.4151188804912632e-54,✅
Ammonia_1,Ammonia_4,0.9478430074312311,1.8836359303999147e-54,✅
DM_1,DM_7,0.9475429124011374,2.5330382926630726e-54,✅
MA_1,MA_4,0.947430846984514,2.828057300612638e-54,✅
Hydrazine_2,Hydrazine_4,0.9469642840130708,4.462392172097126e-54,✅
Ammonia_1,Ammonia_7,0.9461281786878385,1.0002243767200193e-53,✅
MA_6,MA_7,0.9454374837773053,1.9296221527943812e-53,✅
Ammonia_3,Ammonia_4,0.9454206818473119,1.9605050733555074e-53,✅
MA_1,MA_3,0.9451516789867398,2.526232539582466e-53,✅
HF_3,HF_5,0.9425175115003618,2.832670817352912e-52,✅
Ammonia_1,Ammonia_5,0.9423460286260225,3.3022183959636356e-52,✅
HNO3_2,HNO3_5,0.9421123456375785,4.066757072314312e-52,✅
HF_1,HF_2,0.9420008193051149,4.490345914593621e-52,✅
Ammonia_2,Ammonia_7,0.9419627120904666,4.644763754706682e-52,✅
MA_1,MA_7,0.9403428712970328,1.9147653479928276e-51,✅
Ammonia_1,Ammonia_2,0.9384257395820998,9.733820268882182e-51,✅
DM_1,DM_5,0.9378731836536732,1.5403024259630993e-50,✅
Ammonia_1,Ammonia_6,0.9378349282866438,1.5897834433800075e-50,✅
HNO3_6,HNO3_7,0.9370348229346812,3.065891163808096e-50,✅
MA_5,MA_6,0.9369420865605379,3.3065315042882525e-50,✅
HNO3_5,HNO3_7,0.9368179371513768,3.6578551941845147e-50,✅
DM_7,MA_6,0.9366753360579991,4.1066564253259464e-50,✅
DM_6,MA_6,0.9360751474272866,6.664369613956108e-50,✅
F2_6,F2_7,0.9360221405451165,6.953947202109831e-50,✅
MH-5,MH-6,0.9359745060305241,7.224669720119963e-50,✅
TA_5,TA_6,0.9357296477244325,8.787760004657262e-50,✅
MH-1,MH-5,0.9327259952630268,9.13778615999883e-49,✅
TA_3,TA_6,0.932709643770791,9.252256032761114e-49,✅
MA_2,MA_5,0.9325025960539979,1.082906310789547e-48,✅
HNO3_5,HNO3_6,0.9319951317943774,1.589215122831009e-48,✅
Ammonia_2,Ammonia_4,0.9319881486562442,1.597592963510376e-48,✅
DM_3,MA_6,0.9303781188373488,5.291180913691459e-48,✅
TA_1,TA_5,0.9294892406129637,1.0124379466819594e-47,✅
TA_4,TA_7,0.9293060166920557,1.1561138230926074e-47,✅
MA_1,MA_5,0.9283606475410202,2.2799179907642097e-47,✅
Ammonia_3,Ammonia_5,0.9280294189203713,2.885990120743391e-47,✅
F2_4,F2_5,0.927722350175424,3.5872942864729534e-47,✅
DM_4,MA_6,0.9276461355646066,3.785737240089144e-47,✅
F2_1,F2_6,0.927136450354765,5.418419466354141e-47,✅
TA_4,TA_6,0.9267553773006776,7.072333315691791e-47,✅
DM_7,MA_7,0.925726480054642,1.4415436481992322e-46,✅
DM_7,MA_3,0.9251669572341783,2.1141901955476513e-46,✅
Ammonia_4,Ammonia_7,0.9251097964122056,2.1981738808951418e-46,✅
DM_5,MA_6,0.9245000809778311,3.3242152994157634e-46,✅
F2_1,F2_4,0.9222206079570392,1.513965263591908e-45,✅
TA_1,TA_4,0.9205244543123764,4.540819127438235e-45,✅
F2_5,F2_7,0.9203287739330779,5.146147397046991e-45,✅
TA_1,TA_6,0.9202456033486641,5.42674926443589e-45,✅
DM_7,MA_5,0.9192889193746606,9.953440483417784e-45,✅
F2_2,F2_4,0.918783998780569,1.3667774037740559e-44,✅
MA_2,Ammonia_1,0.918638521248619,1.496969967104456e-44,✅
DM_7,MA_2,0.9184791410633818,1.6535604807510047e-44,✅
TA_6,TA_7,0.9182522953832626,1.904428484437865e-44,✅
MA_2,Ammonia_3,0.9178261635959377,2.480400583093526e-44,✅
DM_7,MA_1,0.916742682804535,4.825308637911677e-44,✅
TA_2,TA_5,0.9166015662630393,5.258675200707777e-44,✅
MA_4,Ammonia_5,0.9165140389720826,5.54638751772424e-44,✅
DM_5,MA_7,0.9163377926845673,6.173281251733252e-44,✅
Ammonia_4,Ammonia_6,0.9162758683132781,6.409610557373442e-44,✅
F2_1,F2_5,0.9158064715885543,8.513291301332085e-44,✅
DM_4,MA_1,0.9150871944858597,1.3109775063445768e-43,✅
TA_1,TA_7,0.9150460983727781,1.343562098893366e-43,✅
TA_1,TA_3,0.9149607612204071,1.4137788540366385e-43,✅
TA_2,TA_4,0.9147438218504786,1.6088619325729855e-43,✅
DM_1,MA_6,0.9145705663962376,1.7833834498185602e-43,✅
DM_6,MA_3,0.9138491144835996,2.731947530368062e-43,✅
DM_4,MA_2,0.9134892716052649,3.3748405709593926e-43,✅
MA_2,Ammonia_5,0.9134013547114808,3.5531735205305902e-43,✅
TA_2,TA_6,0.9133884148157602,3.580188485628431e-43,✅
DM_7,Ammonia_6,0.9133225521441019,3.720839930209781e-43,✅
DM_7,MA_4,0.9132987350782213,3.773022578858496e-43,✅
MA_4,Ammonia_6,0.9131913515264394,4.017336305671066e-43,✅
TA_1,TA_2,0.9127949488070743,5.060824253764848e-43,✅
F2_2,F2_5,0.9127223620839146,5.278769539698096e-43,✅
DM_3,MA_1,0.9127080718443862,5.322746944049385e-43,✅
DM_6,MA_7,0.9121126451973747,7.511362951115851e-43,✅
DM_6,MA_5,0.9118008516962474,8.987196439974436e-43,✅
MA_6,Ammonia_3,0.9114669918601214,1.0882377497891823e-42,✅
DM_1,Ammonia_1,0.9098426640880661,2.731448883559844e-42,✅
DM_6,MA_2,0.9096859012832603,2.982389823530369e-42,✅
MA_4,Ammonia_2,0.9092736509444247,3.75504583043148e-42,✅
DM_2,MA_6,0.9091905074928311,3.9331077100680394e-42,✅
DM_3,Ammonia_1,0.9091402753754942,4.044665116143465e-42,✅
DM_5,MA_3,0.908637952880429,5.3451969524600664e-42,✅
DM_5,MA_2,0.908266407537607,6.562554719754434e-42,✅
DM_4,MA_3,0.9080446903449934,7.414259717867805e-42,✅
MA_2,Ammonia_2,0.9079329694094334,7.883525721070179e-42,✅
MA_5,Ammonia_6,0.9079017879497105,8.019609546833446e-42,✅
DM_4,Ammonia_1,0.9078801331853495,8.115467108407166e-42,✅
DM_4,MA_5,0.9075492953746799,9.727327319626226e-42,✅
HNO3_4,HNO3_5,0.9073301783685798,1.0963300010746361e-41,✅
DM_5,MA_5,0.9071136642944926,1.2335174258295573e-41,✅
TA_5,TA_7,0.907008426508268,1.3061346531259744e-41,✅
MA_2,Ammonia_6,0.9069872126199011,1.32127180879596e-41,✅
F2_5,F2_6,0.9066966444161597,1.5467308621011233e-41,✅
DM_3,MA_2,0.9062562519649032,1.9619668964544757e-41,✅
TA_3,TA_5,0.9061800375356064,2.0441510936467848e-41,✅
DM_5,Ammonia_6,0.9055438984275457,2.8752177683633644e-41,✅
Ammonia_4,Ammonia_5,0.9053893128316519,3.1225930494960335e-41,✅
DM_7,Ammonia_3,0.9050887664262202,3.664617979088451e-41,✅
DM_4,Ammonia_2,0.9048341498643082,4.195056911832226e-41,✅
DM_3,Ammonia_3,0.9046028971250566,4.741510015012314e-41,✅
F2_1,F2_7,0.9045617261099332,4.845851618020477e-41,✅
F2_1,F2_2,0.9040958208220142,6.195126086381864e-41,✅
DM_5,MA_1,0.9037099843547508,7.585498555694986e-41,✅
DM_4,Ammonia_3,0.9034189560955922,8.832133236371045e-41,✅
TA_3,TA_7,0.9033882238721478,8.974938540217594e-41,✅
MA_7,Ammonia_6,0.9030262035982908,1.0837095706149905e-40,✅
DM_3,Ammonia_4,0.9029313974868292,1.1384208540779428e-40,✅
DM_6,MA_1,0.9028525699830545,1.1859625099008945e-40,✅
DM_6,Ammonia_1,0.9026477432164827,1.3187697883488027e-40,✅
DM_6,MA_4,0.90230954088098,1.5705833418639615e-40,✅
HNO3_1,HNO3_3,0.9022821785221857,1.5929015448524647e-40,✅
F2_2,F2_7,0.9020730522673721,1.7740432275861112e-40,✅
DM_2,Ammonia_1,0.901880833695132,1.9582354117217844e-40,✅
MA_1,Ammonia_2,0.9018284361501949,2.0116109021398158e-40,✅
MA_6,Ammonia_6,0.9017188776471449,2.127858009775981e-40,✅
DM_5,Ammonia_3,0.9013590050261121,2.557907227904625e-40,✅
MA_3,Ammonia_2,0.9012451532386369,2.710889274129142e-40,✅
DM_3,Ammonia_2,0.9012165728276506,2.750677883800904e-40,✅
F2_4,F2_6,0.9011879924166643,2.791038070536097e-40,✅
DM_4,Ammonia_5,0.9005042072872418,3.949504132678333e-40,✅
MA_2,Ammonia_7,0.9003972677127096,4.168925692062161e-40,✅
F2_4,F2_7,0.9002010175131763,4.603066274658212e-40,✅
DM_4,MA_7,0.9001252780649064,4.782196005102542e-40,✅
DM_5,Ammonia_1,0.8997754050712999,5.702249792695212e-40,✅
MA_7,Ammonia_3,0.8997654007861372,5.730957897113959e-40,✅
DM_4,MA_4,0.8995584305468887,6.357643453082817e-40,✅
MA_6,Ammonia_7,0.899406480131851,6.859964035023271e-40,✅
MA_6,Ammonia_2,0.8993112120952299,7.194506495380043e-40,✅
MA_5,Ammonia_2,0.8992445244695952,7.438136321139248e-40,✅
DM_6,Ammonia_7,0.8990349347890289,8.257601366159633e-40,✅
DM_4,Ammonia_6,0.898929658510096,8.701928680204584e-40,✅
TA_4,TA_5,0.898853925519449,9.03595654260836e-40,✅
MA_6,Ammonia_1,0.8983511445316488,1.1594435060083836e-39,✅
MH-6,MH-7,0.8981934669502568,1.2533991260784006e-39,✅
DM_1,MA_1,0.8981532203131475,1.278550829836289e-39,✅
MH-1,MH-6,0.8981267788481286,1.2953433818889686e-39,✅
DM_6,Ammonia_6,0.8980891568069638,1.319609260319639e-39,✅
DM_1,MA_2,0.8975556545312416,1.7155747995270498e-39,✅
MH-1,MH-7,0.8973910723897625,1.8596889219462228e-39,✅
DM_2,Ammonia_3,0.8971243206267556,2.118806592260588e-39,✅
DM_1,Ammonia_3,0.8968787586511571,2.3883885606023153e-39,✅
DM_2,Ammonia_4,0.8967675555174484,2.5212526245843926e-39,✅
DM_6,Ammonia_3,0.8963002481845862,3.1631939548336954e-39,✅
DM_7,Ammonia_1,0.8961837915365275,3.3465862967506726e-39,✅
MA_6,Ammonia_4,0.8961387864757494,3.420213018629315e-39,✅
DM_5,MA_4,0.8958122453087924,4.004033507157192e-39,✅
MA_6,Ammonia_5,0.895357588575457,4.982170214987286e-39,✅
DM_3,Ammonia_5,0.8953004277534844,5.120606293255385e-39,✅
TA_3,TA_4,0.8947764535520687,6.578259024377733e-39,✅
DM_3,Ammonia_6,0.8945356505776002,7.377600187386023e-39,✅
MA_1,Ammonia_6,0.8945330176770683,7.386845238793055e-39,✅
MA_5,Ammonia_7,0.8944049082092466,7.850647961621941e-39,✅
MA_3,Ammonia_3,0.8943139001592413,8.197327067807646e-39,✅
MA_3,Ammonia_6,0.8942498457870347,8.450271128285685e-39,✅
HCl_3,HF_2,0.8937761391675478,1.0573419960127457e-38,✅
HCl_3,HF_7,0.8937592142298973,1.0658227137758016e-38,✅
MA_4,Ammonia_7,0.8937496874035452,1.0706256493453414e-38,✅
MA_1,Ammonia_3,0.8936348588262041,1.1302095462811677e-38,✅
MA_7,Ammonia_2,0.8935829679423819,1.1581889010928379e-38,✅
MA_5,Ammonia_5,0.8933950670210636,1.2652924239404577e-38,✅
F2_3,F2_5,0.8931971314751186,1.388596852779668e-38,✅
DM_7,Ammonia_5,0.893137843322187,1.4277673193501665e-38,✅
MA_1,Ammonia_5,0.8926969730916291,1.7549795255944779e-38,✅
DM_3,MA_4,0.8923444805165985,2.068434858552158e-38,✅
MH-3,MH-6,0.8922955637906036,2.1160528515064984e-38,✅
DM_5,Ammonia_2,0.8919660464717483,2.465974633130492e-38,✅
DM_7,Ammonia_7,0.8919088856497756,2.5321870108695934e-38,✅
DM_4,Ammonia_7,0.8917728709354675,2.696815613811227e-38,✅
MA_2,Ammonia_4,0.8914706526813189,3.101011935743202e-38,✅
DM_3,MA_3,0.8914039650556842,3.19788492952764e-38,✅
DM_7,Ammonia_2,0.8905846599407432,4.658919869364438e-38,✅
MA_4,Ammonia_3,0.8905481523848392,4.73736596517166e-38,✅
DM_6,Ammonia_2,0.890470338296798,4.908909226959294e-38,✅
Diborane_3,Diborane_7,0.8904512846894738,4.951831383734373e-38,✅
MA_3,Ammonia_5,0.8904322310821496,4.995120806623727e-38,✅
MA_3,Ammonia_1,0.8903438469826402,5.200820531530945e-38,✅
DM_6,Ammonia_5,0.8901178465613002,5.765245623738248e-38,✅
MA_4,Ammonia_1,0.8894432985762123,7.830557493894563e-38,✅
DM_1,Ammonia_5,0.8891482302754415,8.947241754111151e-38,✅
HCl_1,HF_6,0.8883739097712126,1.267201892422725e-37,✅
MA_5,Ammonia_1,0.8882955793169213,1.3124256569982086e-37,✅
HCl_3,HF_6,0.8881288598557581,1.4140028895315205e-37,✅
DM_2,MA_2,0.8879933693446511,1.5021859200332386e-37,✅
DM_2,Ammonia_6,0.8878811623706013,1.579270454523705e-37,✅
HCl_1,HF_7,0.8877689548570258,1.6602225550950951e-37,✅
DM_2,MA_1,0.887542960035099,1.8357838677864122e-37,✅
F2_2,F2_6,0.8872598054626691,2.0815493409528323e-37,✅
MH-1,MH-4,0.8867659843069939,2.58940595638454e-37,✅
HCl_1,HF_2,0.8864902457231829,2.923818974353658e-37,✅
DM_3,Ammonia_7,0.8862690178818103,3.2223598946929287e-37,✅
MA_5,Ammonia_3,0.8860017243697285,3.62304029064146e-37,✅
HCl_2,HF_7,0.885447058237619,4.6162626804636205e-37,✅
HNO3_2,HNO3_4,0.8847394168716075,6.276840459899043e-37,✅
TA_2,TA_3,0.8845816741060311,6.720010851707381e-37,✅
TA_2,TA_7,0.8845715973443979,6.749338798623664e-37,✅
HCl_4,HF_2,0.8845065592043213,6.941665216766141e-37,✅
TA_5,Ammonia_2,0.8845065592043213,6.941665216766141e-37,✅
HCl_4,HF_7,0.8842800220094769,7.654368521095281e-37,✅
HCl_2,HF_6,0.8842180976381877,7.861339662156688e-37,✅
DM_5,Ammonia_5,0.8832871283355721,1.1719409433095604e-36,✅
DM_4,Ammonia_4,0.8832654150029695,1.182857918585963e-36,✅
MA_7,Ammonia_5,0.8829796102124041,1.3361716075260417e-36,✅
F2_3,F2_4,0.8828679489744395,1.4012121285322812e-36,✅
HCl_6,HF_7,0.8828224175775932,1.4286135828708393e-36,✅
HCl_4,HF_6,0.8827557297931278,1.4696960533188345e-36,✅
HCl_2,HF_1,0.8826869397048597,1.5132845731867874e-36,✅
DM_2,Ammonia_2,0.8826107252755627,1.5630552844106087e-36,✅
DM_1,Ammonia_4,0.8823174957809274,1.7699230117748094e-36,✅
DM_1,Ammonia_6,0.8821433504975397,1.9052172727612772e-36,✅
HCl_6,HF_2,0.8820105366448503,2.0151539775294063e-36,✅
DM_5,Ammonia_7,0.8815437232654072,2.4530698696311797e-36,✅
DM_3,MA_7,0.8814457911697029,2.5561161852924197e-36,✅
MH-3,MH-7,0.8813803550430651,2.627317769730826e-36,✅
MA_1,Ammonia_7,0.8813028887744202,2.7141208208152148e-36,✅
DM_1,Ammonia_7,0.8812743082953637,2.7468495514038242e-36,✅
HCl_2,HF_2,0.8811245439042746,2.924767435041155e-36,✅
MA_7,Ammonia_1,0.8806523986224176,3.5627072119769614e-36,✅
DM_1,Ammonia_2,0.8805883767980066,3.659076057835111e-36,✅
MH-1,MH-3,0.8804824431051005,3.8241630652713385e-36,✅
HCl_3,HF_1,0.8804386140406031,3.894578089068718e-36,✅
DM_3,MA_5,0.8802576047710232,4.199067613551408e-36,✅
HCl_1,HF_1,0.8801406159594541,4.4081296282620995e-36,✅
MA_1,Ammonia_1,0.8798330896047786,5.007472743137263e-36,✅
MA_3,Ammonia_7,0.8793335048157992,6.155127334198252e-36,✅
DM_2,MA_7,0.8791593528451794,6.612781643783966e-36,✅
DM_2,MA_3,0.8791429687425572,6.657512843807476e-36,✅
HCl_6,HF_6,0.8785877432640484,8.361423841331126e-36,✅
DM_2,MA_5,0.878399878056913,9.029367684486503e-36,✅
HCl_4,HF_1,0.8782379223946573,9.646881465926004e-36,✅
MA_5,TA_5,0.8773328760467575,1.3937511605596494e-35,✅
HCl_6,HF_1,0.8773042956357712,1.40997339367063e-35,✅
MH-4,MH-7,0.8772915103689156,1.4172899772801362e-35,✅
DM_1,MA_3,0.8766919048199644,1.805491571144244e-35,✅
HNO3_2,HNO3_6,0.8764796387518281,1.966453319305008e-35,✅
MH-5,MH-7,0.8761316137354705,2.2612299281252063e-35,✅
DM_2,MA_4,0.8760488440411921,2.337462587518094e-35,✅
DM_7,TA_5,0.8754084617070127,3.018621073057131e-35,✅
DM_6,Ammonia_4,0.8750559699715148,3.472814965984754e-35,✅
DM_7,TA_6,0.874938968771163,3.6378625225326544e-35,✅
MA_5,TA_7,0.8749172355088709,3.669354617219349e-35,✅
MA_7,TA_5,0.8749151517052824,3.6723880813106007e-35,✅
DM_2,Ammonia_7,0.8743890937151676,4.5221451180911156e-35,✅
DM_2,TA_3,0.873960387550373,5.354413192506558e-35,✅
DM_2,Ammonia_5,0.8737126906551582,5.901738029545205e-35,✅
DM_7,TA_1,0.8735998475923522,6.1688817146081e-35,✅
DM_7,Ammonia_4,0.8731125020244457,7.465013075974764e-35,✅
TA_5,Ammonia_6,0.8722428769134958,1.047074340522533e-34,✅
DM_1,MA_4,0.8721068150314624,1.1037523057513956e-34,✅
HCl_3,HF_3,0.8718808575121128,1.2045754709574561e-34,✅
